sample	file	group	replicate	sex	devstage	sname
liver_14	ERR2598144	liver	14	female	18wpc	5948sTS.Human.Liver.18w.Female	
liver_15	ERR2598159	liver	15	male	19wpc	5769sTS.Human.Liver.19w.Male	
liver_16	ERR2598160	liver	16	female	19wpc	5781sTS.Human.Liver.19w.Female	
liver_17	ERR2598161	liver	17	female	19wpc	5772sTS.Human.Liver.20w.Female	
liver_18	ERR2598162	liver	18	male	19wpc	5773sTS.Human.Liver.20w.Male	
liver_19	ERR2598173	liver	19	male	4wpc	3589sTS.Human.Liver.CS13.Male	
liver_20	ERR2598174	liver	20	male	4wpc	5626sTS.Human.Liver.4w.Male	
liver_21	ERR2598175	liver	21	male	4wpc	5910sTS.Human.Liver.4w.Male	
liver_22	ERR2598176	liver	22	female	4wpc	5913sTS.Human.Liver.4w.Female	
liver_23	ERR2598189	liver	23	female	5wpc	5640sTS.Human.Liver.5w.Female	
liver_24	ERR2598188	liver	24	male	5wpc	5629sTS.Human.Liver.5w.Male	
liver_25	ERR2598201	liver	25	male	6wpc	2076sTS.Human.Liver.CS18.Male	
liver_26	ERR2598202	liver	26	female	6wpc	3676sTS.Human.Liver.CS17.Female	
liver_27	ERR2598220	liver	27	male	7wpc	3641sTS.Human.Liver.CS19.Male	
liver_28	ERR2598217	liver	28	male	7wpc	2014sTS.Human.Liver.CS21.Male	
liver_29	ERR2598219	liver	29	male	7wpc	3639sTS.Human.Liver.CS21.Male	
liver_30	ERR2598218	liver	30	female	7wpc	3574sTS.Human.Liver.CS20.Female	
liver_31	ERR2598241	liver	31	male	8wpc	2016sTSm.Human.Liver.CS22.Male	
liver_32	ERR2598242	liver	32	female	8wpc	2017sTSm.Human.Liver.CS22.Female	
liver_33	ERR2598244	liver	33	male	8wpc	2019sTSm.Human.Liver.8w.Male	
liver_34	ERR2598243	liver	34	female	8wpc	2085sTSm.Human.Liver.CS23.Female	
liver_35	ERR2598260	liver	35	male	9wpc	2022sTSb.Human.Liver.9w.Male	
liver_36	ERR2598261	liver	36	female	9wpc	2053sTS.Human.Liver.9w.Female	
